index,cumulative_v_fraction,cumulative_c_fraction,symbol
967,0.463289,0.536711,c
968,0.463843,0.536157,v
969,0.463364,0.536636,c
970,0.462887,0.537113,c
971,0.463440,0.536560,v
972,0.462963,0.537037,c
973,0.462487,0.537513,c
974,0.462012,0.537988,c
975,0.462564,0.537436,v
976,0.463115,0.536885,v
977,0.462641,0.537359,c
978,0.462168,0.537832,c
979,0.461696,0.538304,c
980,0.461224,0.538776,c
981,0.460754,0.539246,c
982,0.460285,0.539715,c
983,0.460834,0.539166,v
984,0.460366,0.539634,c
985,0.460914,0.539086,v
986,0.460446,0.539554,c
987,0.460993,0.539007,v
988,0.460526,0.539474,c
989,0.461072,0.538928,v
990,0.460606,0.539394,c
991,0.461150,0.538850,v
992,0.461694,0.538306,v
993,0.461229,0.538771,c
994,0.461771,0.538229,v
995,0.462312,0.537688,v
996,0.461847,0.538153,c
997,0.462387,0.537613,v
998,0.461924,0.538076,c
999,0.462462,0.537538,v
1000,0.462000,0.538000,c
