index,cumulative_v_fraction,cumulative_c_fraction,symbol
227,0.466960,0.533040,v
228,0.464912,0.535088,c
229,0.462882,0.537118,c
230,0.460870,0.539130,c
231,0.463203,0.536797,v
232,0.461207,0.538793,c
233,0.463519,0.536481,v
234,0.461538,0.538462,c
235,0.463830,0.536170,v
236,0.466102,0.533898,v
237,0.464135,0.535865,c
238,0.466387,0.533613,v
239,0.464435,0.535565,c
240,0.466667,0.533333,v
241,0.464730,0.535270,c
242,0.466942,0.533058,v
243,0.465021,0.534979,c
244,0.467213,0.532787,v
245,0.465306,0.534694,c
246,0.467480,0.532520,v
247,0.465587,0.534413,c
248,0.467742,0.532258,v
249,0.465863,0.534137,c
250,0.468000,0.532000,v
251,0.466135,0.533865,c
252,0.468254,0.531746,v
253,0.470356,0.529644,v
254,0.468504,0.531496,c
255,0.466667,0.533333,c
256,0.468750,0.531250,v
257,0.466926,0.533074,c
258,0.465116,0.534884,c
259,0.467181,0.532819,v
260,0.465385,0.534615,c
261,0.467433,0.532567,v
262,0.465649,0.534351,c
263,0.467681,0.532319,v
264,0.465909,0.534091,c
265,0.467925,0.532075,v
266,0.466165,0.533835,c
267,0.464419,0.535581,c
268,0.462687,0.537313,c
269,0.460967,0.539033,c
270,0.462963,0.537037,v
271,0.461255,0.538745,c
272,0.459559,0.540441,c
273,0.461538,0.538462,v
274,0.463504,0.536496,v
275,0.465455,0.534545,v
276,0.463768,0.536232,c
277,0.462094,0.537906,c
278,0.464029,0.535971,v
279,0.462366,0.537634,c
280,0.464286,0.535714,v
281,0.462633,0.537367,c
282,0.464539,0.535461,v
283,0.466431,0.533569,v
284,0.464789,0.535211,c
285,0.466667,0.533333,v
286,0.465035,0.534965,c
287,0.466899,0.533101,v
288,0.465278,0.534722,c
289,0.463668,0.536332,c
290,0.462069,0.537931,c
291,0.460481,0.539519,c
292,0.458904,0.541096,c
293,0.457338,0.542662,c
294,0.455782,0.544218,c
295,0.457627,0.542373,v
296,0.456081,0.543919,c
297,0.457912,0.542088,v
298,0.456376,0.543624,c
299,0.458194,0.541806,v
300,0.456667,0.543333,c
301,0.455150,0.544850,c
302,0.456954,0.543046,v
303,0.455446,0.544554,c
304,0.457237,0.542763,v
305,0.455738,0.544262,c
306,0.457516,0.542484,v
307,0.456026,0.543974,c
308,0.454545,0.545455,c
309,0.453074,0.546926,c
310,0.454839,0.545161,v
311,0.453376,0.546624,c
312,0.455128,0.544872,v
313,0.456869,0.543131,v
314,0.455414,0.544586,c
315,0.453968,0.546032,c
316,0.455696,0.544304,v
317,0.454259,0.545741,c
